queenID,pullDay,qNatCol,WNatCol,start,eggDate,collDate,daysToEggs,socTreat,history,nest,nEggs,nHealthLarvae,nPupae,nMales,nAllBrood,daysToDeath,NOTES
EQ001,3/14/18,MF1,SG3 SG3 SG2 SG2 MF2 (SG2 ES5 ES6 ES6 ES6),3/27/18,4/3/18,4/25/18,8,Social,First,First,20,5,5,0,30,60,
EQ001,3/14/18,MF1,SG3 SG3 SG2 SG2 MF2 (SG2 ES5 ES6 ES6 ES6),4/25/18,4/29/18,5/21/18,5,Social,WasSocial,Second,35,1,3,0,39,60,all 3 pupae are actually late larvae in cocoons
EQ002,3/15/18,MF1,SG3 SG2 SG2 SG3 SG1 (SG3),3/28/18,4/6/18,4/30/18,9,Social,First,First,16,33,9,5,63,60,
EQ002,3/15/18,MF1,,4/30/18,5/3/18,5/25/18,4,Solitary,WasSocial,Second,7,3,0,0,10,60,
EQ003,3/15/18,MF1,,3/28/18,4/30/18,5/22/18,33,Solitary,First,First,6,4,0,0,10,60,
EQ003,3/15/18,MF1,,5/22/18,5/25/18,6/18/18,3,Social,WasSolitary,Second,12,74,26,0,112,60,
EQ004,3/15/18,MF1,SG2 SG3 SG1 SG2 SG3 (ES6),3/28/18,4/5/18,4/27/18,9,Social,First,First,20,22,0,0,42,60,
EQ004,3/15/18,MF1,SG2 SG3 SG1 SG2 SG3 (ES6),4/27/18,5/2/18,5/24/18,5,Social,WasSocial,Second,59,2,9,0,70,60,
EQ007,3/16/18,MF1,,3/29/18,NA,4/26/18,NA,Solitary,First,First,NA,NA,NA,NA,NA,28,died day 28
EQ008,3/19/18,MF1,SG2 SG2 SG1 SG1 SG3 (ES5 ES5 WQ2),4/3/18,4/10/18,5/2/18,8,Social,First,First,25,14,4,0,43,60,
EQ008,3/19/18,MF1,SG2 SG2 SG1 SG1 SG3 (ES5 ES5 WQ2),5/2/18,5/3/18,5/25/18,2,Social,WasSocial,Second,22,6,0,0,28,60,
EQ009,3/21/18,MF1,SG3 SG3 SG1 SG2 SG2 (ES6),4/3/18,4/10/18,5/2/18,8,Social,First,First,25,11,5,0,41,60,
EQ009,3/21/18,MF1,,5/2/18,5/8/18,5/30/18,7,Solitary,WasSocial,Second,1,0,0,0,1,60,egg dead
EQ010,3/21/18,MF1,,4/3/18,NA,4/20/18,NA,Solitary,First,First,NA,NA,NA,NA,NA,17,died day 17
