,,,Peak Area,Peak Area,Peak Area,Peak Area,Peak Area,Peak Area Ratio,Peak Area Ratio,Peak Area Ratio,Peak Area Ratio,JHIII concentration in hexane (ng/ml),JH concentration in hemolymph (ng/ml)
sample number,,Input volume (ul) of hemolymph,citronellol,farnesol1,farnesol2,methyl farnesoate,JHIII,farnesol1/citronellol,farnesol2/citronellol,methyl farnesoate/citronellol,JHIII/citronellol,sample JHIII/citronellol * standard mix 4 JHIII/citronellol,JHIII concentration in hexane * 200 / hemolymph volume
158,"standard mix 4 (mix of JHIII, methyl farnesoate at 400ng/ml, and farnesol at 800ng/ml, and citronellol at 100ng/ml)",,819017,1060336,1080897,2498801,432488,0.23,1.32,3.05,0.53,400.00,
159,"standard mix 3 (mix of JHIII, methyl farnesoate at 50ng/ml, and farnesol at 100ng/ml, and citronellol at 100ng/ml)",,492849,190847,209032,220301,13130,2.15,0.42,0.45,0.03,20.18,
160,"standard mix 2 (mix of JHIII, methyl farnesoate at 10ng/ml, and farnesol at 20ng/ml, and citronellol at 100ng/ml)",,567904,40645,24221,162928,8216,0.07,0.04,0.29,0.01,10.96,
161,standard mix 1 (only citronellol at 100ng/ml),,567870,6688,9704,206,1,0.01,0.02,0.00,0.00,0.00,
344,Bee sample 100,19,304257,16186,18438,198,3553,0.05,0.06,0.00,0.01,8.85,93.11
273,Bee sample 101,20,270474,17445,6913,246,54869,0.06,0.03,0.00,0.20,153.67,1536.67
267,Bee sample 102,7,283983,14761,6840,100,10843,0.05,0.02,0.00,0.04,28.92,826.36
289,Bee sample 103,1,250444,13039,14448,48,400,0.05,0.06,0.00,0.00,1.21,241.97
291,Bee sample 104,12,301391,18725,6819,59,531,0.06,0.02,0.00,0.00,1.33,22.24
179,Bee sample 105,12,261533,14077,7210,121,5320,0.05,0.03,0.00,0.02,15.41,256.81
275,Bee sample 106,17,286223,21149,6712,44,1926,0.07,0.02,0.00,0.01,5.10,59.97
354,Bee sample 107,20,317545,16075,10026,130,3103,0.05,0.03,0.00,0.01,7.40,74.02
334,Bee sample 108,19,304321,17190,6748,156,2819,0.06,0.02,0.00,0.01,7.02,73.86
350,Bee sample 109,7,257577,18469,19466,151,2942,0.07,0.08,0.00,0.01,8.65,247.20
330,Bee sample 111,20,325855,16944,9934,114,5301,0.05,0.03,0.00,0.02,12.32,123.23
295,Bee sample 112,10,258540,23738,7481,77,2632,0.09,0.03,0.00,0.01,7.71,77.11
297,Bee sample 113,9,274451,15595,13069,57,11837,0.06,0.05,0.00,0.04,32.67,653.41
299,Bee sample 114,13,277243,14892,6002,76,2701,0.05,0.02,0.00,0.01,7.38,163.99
318,Bee sample 29,25,292790,12052,9745,169,2804,0.04,0.03,0.00,0.01,7.25,111.61
