BeeID,SocTreat,RelTreat,DaysTreat,NatCol,Pulled,Gas1,Gas2,Wadded,WNatCol,FirstOffEcl,DateColl,nEggs,uLHem,JHIII,Wing1,Wing2,ovR11,ovR12,ovR13,ovR14,Ooc11,Ooc12,Ooc13,Ooc14,ovR21,ovR22,ovR23,ovR24,Ooc21,Ooc22,Ooc23,Ooc24
QB032,solitary,gas,1,DR3,20190204,20190216,20190217,NA,NA,NA,20190218,0,10,56.02644459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QB044,solitary,gas,1,DR2,20190208,20190220,20190221,NA,NA,NA,20190222,0,10,3.599474728,3.8,3.7,0,0,0,0,2.7,2.8,2.5,3,0,0,0,0,1.9,3.2,2.6,2.4
QB049,solitary,gas,1,DR3,20190208,20190220,20190221,NA,NA,NA,20190222,0,13,26.92521103,4.1,4.1,0,0,0,0,1.8,1,1.9,1.6,0,0,0,0,1.6,1.1,1.9,1.1
QB059,solitary,gas,1,DR2,20190220,20190304,20190305,NA,NA,NA,20190306,0,20,143.3225263,4.3,4.3,0,0,0,0,0.9,1.3,1.2,1.4,0,0,0,0,1.2,1.3,0.8,1.6
QB069,solitary,gas,1,MP3,20190222,20190306,20190307,NA,NA,NA,20190308,0,20,29.92649614,3.8,3.9,0,0,0,0,1.7,2.4,2,2,0,0,0,0,2.4,1.2,1.1,1
QB083,solitary,gas,1,DR3,20190222,20190306,20190307,NA,NA,NA,20190308,0,20,180.0863729,4.1,3.9,0,0,0,0,2.1,1.3,0.9,1.6,0,0,0,0,1.5,1.3,2.2,1.8
QB089,solitary,gas,1,QP2,20190307,20190319,20190320,NA,NA,NA,20190321,0,20,48.36384041,4.2,4.3,0,0,0,0,0.8,1,1.9,1.7,0,0,0,0,0.7,0.8,0.9,1.1
QB092,solitary,gas,1,QP3,20190307,20190319,20190320,NA,NA,NA,20190321,0,20,54.00281895,4.1,4,0,0,0,0,0.9,1.1,1,1.1,0,0,0,0,1.9,2.1,1.5,1.5
QB106,solitary,gas,1,QP1,20190312,20190324,20190325,NA,NA,NA,20190326,0,17,59.96691038,4.1,4.1,0,0,0,0,4.2,4.4,5.2,4.1,0,0,0,0,5.9,5.2,6,5.1
QB030,social,gas,4,DR3,20190201,20190213,20190214,20190215,,NA,20190218,0,8,282.5077433,4.2,4.1,0,0,NA,NA,2.8,3.2,NA,NA,0,0,NA,NA,3.2,3.2,NA,NA
