BeeID,queen bee identifier
SocTreat,"social treatment (0 = solitary, 1 = 5 callow workers added)"
RelTreat,whether day 0 is relative to date of 2nd gas (gas) or date of first offspring eclosion (offe)
DaysTreat,number of days from day 0 to date of collection. Day 0 is based on RelTreat
NatCol,queen's natal colony
Pulled,calendar date queen pulled as callow from natal colony
Gas1,calendar date of first 30min gas
Gas2,calendar date of second 30min gas
WNatCol,worker's natal colony
DateColl,calendar date nest collected
nEggs,"total number of eggs in the nest on date of collection. NA value means that eggs were not counted, and the number is unknown"
uLHem,hemolymph volume collected from queen (ul)
JHIII,hemolymph jhIII titer (ng/ml)
Wing1,"marginal cell length in queen's first forewing (mm); NA value means that the cell was not measured, and the length is unknown"
Wing2,"marginal cell length in queen's second forewing (mm); NA value means that the cell was not measured, and the length is unknown"
Ooc11-24,"length of terminal oocyte (mm).  first number in column name is ovary (1-2), second number is terminal oocyte (1-4); NA value means the oocyte was not measured, and the length is unknown"
ovR11-24,"resorption status of ovariole (0 = not resorbed, 1 = resorbed). first number in column name is ovary (1-2), second number is ovariole (1-4); NA value means the oocyte was not measured, and the status is unknown"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
