Inj.,Injection Name,Type ,Level ,Vial,Volume ,RT,Expected RT,Quant Ion,Area,Amount ,Theo. Amt ,Concentration ,RF,ISTD Amount ,ISTD Area ,Comment 
No.,Selected Peak:,,,Pos'n,µL,min,min,m/z,counts*min,n.a.,n.a.,n.a.,,n.a.,counts*min,
,,,,,,TIC,TIC,TIC,TIC,TIC,TIC,TIC,TIC,TIC,TIC,
,,,,,,[8.56..9.00],[8.56..9.00],[8.56..9.00],[8.56..9.00],[8.56..9.00],[8.56..9.00],[8.56..9.00],[8.56..9.00],[8.56..9.00],[8.56..9.00],
158,standard mix 3 quant,Unknown,,2,2,8.78,n.a.,n.a.,190847,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
159,standard mix 4 quant,Unknown,,2,2,8.78,n.a.,n.a.,1060336,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
160,standard mix 2 quant,Unknown,,3,2,8.78,n.a.,n.a.,40645,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
161,standard mix 1 quant,Unknown,,4,2,8.79,n.a.,n.a.,6688,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
162,hexane quant,Unknown,,1,2,8.72,n.a.,n.a.,49130,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
163,hexane cleaner method,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
164,hexane quant run2,Unknown,,1,2,8.78,n.a.,n.a.,40202,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
165,Bee sample 31,Unknown,,2,2,8.77,n.a.,n.a.,11715,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
166,hexane cleaner method,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
167,Bee sample 74,Unknown,,3,2,8.77,n.a.,n.a.,11636,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
168,hexane cleaner method,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
169,Bee sample 77,Unknown,,4,2,8.77,n.a.,n.a.,12124,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
170,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
171,Bee sample 84,Unknown,,2,2,8.77,n.a.,n.a.,10628,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
172,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
173,Blank 4/26,Unknown,,3,2,8.77,n.a.,n.a.,8853,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
174,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
175,Bee sample 41,Unknown,,4,2,8.77,n.a.,n.a.,13931,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
176,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
177,Bee sample 42,Unknown,,5,2,8.77,n.a.,n.a.,13408,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
178,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
179,Bee sample 105,Unknown,,6,2,8.77,n.a.,n.a.,14077,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
180,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
181,Bee sample 30,Unknown,,7,2,8.78,n.a.,n.a.,11616,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
182,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
183,Bee sample 32,Unknown,,8,2,8.78,n.a.,n.a.,10021,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
184,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
185,Blank 2/18,Unknown,,9,2,8.78,n.a.,n.a.,12462,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
186,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
187,Bee sample 38,Unknown,,10,2,8.78,n.a.,n.a.,4416,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
